P07_114_0,4.08,5.22,grab lid
P07_114_1,5.27,6.12,uncover pot
P07_114_10,44.57,45.48,open freezer
P07_114_11,45.48,46.27,open drawer
P07_114_12,46.28,46.97,put down bag
P07_114_13,47.04,47.73,close drawer
P07_114_14,52.28,58.45,shake vegetables
P07_114_15,60.52,61.51,grab lid
P07_114_16,61.47,63.0,cover pot
P07_114_17,67.17,69.44,grab pot
P07_114_18,69.28,70.5,put pot onto hob
P07_114_19,71.06,77.41,turn on hob
P07_114_2,6.74,11.36,press bag
P07_114_20,77.51,79.21,grab jug
P07_114_21,78.98,86.09,pour water into pot
P07_114_22,91.89,93.2,put down kettle
P07_114_23,100.65,106.03,grab bag
P07_114_24,119.03,121.48,turn knob
P07_114_25,130.89,132.22,grab colander
P07_114_26,131.92,134.6,put colander into pot
P07_114_27,140.06,141.65,grab bag
P07_114_28,143.09,145.19,open bag
P07_114_29,145.21,147.17,grab broccoli
P07_114_3,11.45,24.57,pour vegetables into pot
P07_114_30,147.18,148.01,pour broccoli onto colander
P07_114_31,148.05,153.68,grab broccoli
P07_114_32,153.76,154.54,pour broccoli onto colander
P07_114_33,154.5,156.51,grab broccoli
P07_114_34,154.53,156.76,pour broccoli onto colander
P07_114_35,158.41,162.28,grab broccoli
P07_114_36,162.7,163.42,pour broccoli onto colander
P07_114_37,163.65,165.58,close bag
P07_114_38,166.37,167.58,open freezer
P07_114_39,167.98,169.49,open drawer
P07_114_4,15.72,18.07,shake bag
P07_114_40,169.28,170.24,put down bag
P07_114_41,170.17,170.95,close drawer
P07_114_42,173.91,175.37,grab lid
P07_114_43,175.89,177.39,cover colander
P07_114_5,29.92,33.75,press bag
P07_114_6,33.7,36.62,shake bag
P07_114_7,37.18,38.58,shake bag
P07_114_8,41.38,42.95,open freezer
P07_114_9,43.11,46.13,open drawer
