P29_01_0,4.66,7.38,pick up chopping board
P29_01_1,7.48,10.51,put down chopping board
P29_01_10,36.28,37.69,close fridge
P29_01_100,323.07,323.96,put onion in pan
P29_01_102,327.64,328.65,chop onion
P29_01_103,334.63,336.21,pick up oil
P29_01_104,336.73,339.52,pour oil on onion in pan
P29_01_105,337.56,338.77,chop onion
P29_01_106,341.67,342.18,chop onion
P29_01_107,341.81,342.34,pick up onion
P29_01_108,342.12,344.9,turn on hob
P29_01_109,342.44,343.21,throw onion in pan
P29_01_11,38.51,42.36,open fridge
P29_01_110,344.47,349.67,ignite hob
P29_01_111,349.6,350.92,pick up lid
P29_01_112,350.85,352.66,put down lid
P29_01_113,374.0,378.52,chop garlic
P29_01_114,375.05,375.74,peel garlic
P29_01_115,377.55,378.26,peel garlic
P29_01_116,378.63,381.89,pick up garlic
P29_01_117,379.38,380.15,chop garlic
P29_01_118,381.37,382.15,chop garlic
P29_01_119,383.16,383.82,chop garlic
P29_01_12,42.96,44.15,open drawer
P29_01_120,383.39,384.9,put garlic in pan
P29_01_121,385.1,385.78,chop garlic
P29_01_122,385.65,389.81,throw away garlic
P29_01_123,414.0,421.27,peel garlic
P29_01_124,414.12,417.59,peel garlic
P29_01_125,414.34,415.96,pick up garlic
P29_01_126,415.38,416.07,finding garlic
P29_01_127,416.78,417.52,pick up garlic
P29_01_128,418.42,419.91,finding garlic
P29_01_129,421.37,426.95,chop garlic
P29_01_13,43.9,44.9,pick up peppers
P29_01_130,423.21,432.62,chop garlic
P29_01_131,427.63,428.43,chop garlic
P29_01_132,429.03,432.57,chop garlic
P29_01_133,458.7,459.49,pick up garlic
P29_01_134,460.38,461.25,put garlic in pan
P29_01_135,460.74,461.72,stir onions
P29_01_136,462.26,463.06,stir onions
P29_01_137,463.76,464.47,stir onions
P29_01_138,465.02,465.59,stir onions
P29_01_139,471.15,471.84,get red wine vinegar from shelf
P29_01_14,45.0,51.88,pick up coffee
P29_01_140,474.97,476.64,pour red wine vinegar in pan
P29_01_141,497.46,498.07,pick up spatula
P29_01_142,498.8,499.55,stir onion
P29_01_143,518.0,518.8,pick up raisins
P29_01_144,522.0,523.82,open cupboard
P29_01_145,522.98,523.81,pick up stock
P29_01_146,526.9,527.79,put down stock
P29_01_147,527.89,529.96,close cupboard
P29_01_148,532.47,534.31,adjust heat on oven
P29_01_149,536.39,542.49,open stock cube
P29_01_15,45.72,46.94,put down peppers
P29_01_150,542.59,564.24,open stock cube
P29_01_151,575.8,583.49,stir onions
P29_01_152,576.09,583.59,stir onions
P29_01_153,576.36,577.13,stir onion
P29_01_154,577.7,578.59,stir onion
P29_01_155,583.23,585.19,put down spatula
P29_01_156,585.46,587.2,pick up sausages
P29_01_157,586.32,587.92,throw away garlic
P29_01_158,590.19,593.7,pick up spatula
P29_01_159,590.96,598.54,open stock cube
P29_01_16,51.98,56.23,put down coffee
P29_01_160,604.28,608.09,crush stock cube
P29_01_161,608.19,617.79,crush stock cube
P29_01_162,617.89,619.3,put down stock cube
P29_01_163,618.59,620.55,throw away packaging
P29_01_164,623.54,625.86,slice open sausage packet
P29_01_165,625.74,633.65,remove film from sausage packet
P29_01_166,635.12,636.73,remove sausage from packet
P29_01_167,636.83,640.75,slice sausage
P29_01_168,640.24,648.92,peel sausage
P29_01_169,643.14,657.37,peel sausage
P29_01_170,649.0,655.27,peel sausage
P29_01_171,650.95,652.85,put sausage on chopping board
P29_01_172,656.43,657.49,peel sausage
P29_01_173,657.65,658.97,throw away skin
P29_01_174,660.26,663.53,pick up sausage
P29_01_175,661.1,663.36,pick up sausage
P29_01_176,663.33,666.4,slice sausage
P29_01_177,663.63,666.08,slice sausage
P29_01_178,666.22,674.05,peel sausage
P29_01_179,672.06,675.94,peel sausage
P29_01_180,676.31,676.89,squeeze sausage
P29_01_181,679.65,680.94,throw away skin
P29_01_182,681.92,682.56,pick up sausage
P29_01_183,687.73,690.28,slice sausage
P29_01_184,690.75,693.15,peel sausage
P29_01_185,694.09,694.75,throw sausage in pan
P29_01_186,697.12,697.87,peel sausage
P29_01_187,701.16,703.55,throw sausage in pan
P29_01_188,708.02,709.35,throw away skin
P29_01_189,711.28,713.03,pick up sausage
P29_01_19,59.38,61.47,pick up green beans
P29_01_190,713.85,715.67,put sausage in pan
