P20_07_0,0.39,2.18,pick up bowls
P20_07_1,2.94,5.3,put down bowls
P20_07_10,35.41,37.06,put down fork
P20_07_11,37.19,37.88,pick up bowl
P20_07_12,38.36,46.71,wipe bowl with rag
P20_07_13,46.81,51.31,still wiping bowl with rag
P20_07_14,52.66,60.42,put down bowl
P20_07_15,60.52,65.06,pick up bowls
P20_07_16,68.36,70.2,open drawer
P20_07_17,69.33,74.23,put down bowl
P20_07_18,73.55,75.65,put down bowl
P20_07_19,77.38,80.38,rinse rag
P20_07_2,6.78,7.56,pick up bowl
P20_07_20,82.42,84.12,open dishwasher
P20_07_21,83.63,85.32,open dishwasher drawer
P20_07_22,85.43,86.93,put down fork
P20_07_23,87.51,88.79,close dishwasher
P20_07_24,90.63,91.59,pick up bread packaging
P20_07_25,91.43,96.14,pick bread packaging into drawer
P20_07_3,7.76,9.2,turn on tap
P20_07_4,9.72,11.46,rinse bowl
P20_07_5,11.06,18.64,wipe bowl with rag
P20_07_6,20.31,22.0,still wiping bowl with rag
P20_07_7,24.76,26.01,put down bowl
P20_07_8,26.17,26.9,pick up fork
P20_07_9,27.34,35.56,wipe fork with rag
