P01_11,147
P01_12,61
P01_13,29
P01_14,353
P01_15,290
P02_12,371
P02_13,13
P02_14,13
P02_15,49
P03_21,12
P03_22,25
P03_23,124
P03_24,135
P03_25,15
P03_26,3
P04_24,63
P04_25,26
P04_26,2
P04_27,10
P04_28,24
P04_29,60
P04_30,49
P04_31,112
P04_32,6
P04_33,21
P05_07,110
P05_09,65
P06_10,60
P06_11,22
P06_12,29
P06_13,62
P06_14,31
P07_12,42
P07_13,14
P07_14,42
P07_15,16
P07_16,28
P07_17,25
P07_18,13
P08_09,148
P08_10,62
P08_14,42
P08_15,133
P08_16,121
P08_17,119
P09_07,16
P09_08,26
P10_03,236
P11_17,146
P11_18,17
P11_19,33
P11_20,194
P11_21,10
P11_22,72
P11_23,20
P11_24,23
P12_03,112
P12_08,25
P13_01,48
P13_02,9
P13_03,47
P14_06,12
P14_08,32
P15_04,36
P15_05,13
P15_06,64
P16_04,57
P17_02,26
P18_01,42
P18_02,28
P18_03,112
P18_04,37
P18_05,134
P18_06,90
P18_07,52
P18_08,18
P18_09,41
P18_10,45
P18_11,98
P18_12,33
P19_05,12
P19_06,29
P20_05,125
P20_06,69
P20_07,25
P21_02,59
P22_01,349
P22_02,216
P22_03,485
P22_04,178
P23_05,104
P24_09,346
P25_06,33
P25_07,40
P25_08,21
P26_30,2
P26_31,17
P26_32,14
P26_33,4
P26_34,11
P26_35,33
P26_36,38
P26_37,12
P26_38,8
P26_39,10
P26_40,14
P26_41,23
P27_05,63
P28_15,31
P28_16,56
P28_17,15
P28_18,25
P28_19,19
P28_20,24
P28_21,13
P28_22,25
P28_23,5
P28_24,15
P28_25,132
P28_26,30
P29_05,564
P29_06,44
P30_07,105
P30_08,332
P30_09,169
P31_10,45
P31_11,28
P31_12,21
P32_01,59
P32_02,26
P32_03,11
P32_04,39
P32_05,36
P32_06,48
P32_07,2
P32_08,15
P32_09,38
P32_10,43
P01_01,329
P01_02,145
P01_03,41
P01_04,31
P01_05,258
P01_06,118
P01_07,56
P01_08,31
P01_09,880
P01_102,126
P01_103,97
P01_104,92
P01_105,789
P01_106,246
P01_107,61
P01_108,65
P01_109,917
P01_10,25
P01_16,72
P01_17,287
P01_18,688
P01_19,136
P02_01,90
P02_02,88
P02_03,363
P02_04,167
P02_05,4
P02_06,372
P02_07,53
P02_08,32
P02_09,573
P02_101,110
P02_102,109
P02_103,46
P02_104,181
P02_105,199
P02_107,51
P02_108,450
P02_109,186
P02_10,11
P02_110,49
P02_111,16
P02_112,318
P02_113,183
P02_114,15
P02_115,44
P02_116,31
P02_118,289
P02_119,15
P02_11,19
P02_120,220
P02_121,98
P02_122,213
P02_123,472
P02_124,92
P02_126,59
P02_127,10
P02_128,62
P02_129,494
P02_130,330
P02_131,272
P02_132,88
P02_133,33
P02_134,13
P02_135,115
P03_02,136
P03_03,23
P03_04,360
P03_05,65
P03_06,31
P03_07,47
P03_08,8
P03_09,179
P03_101,350
P03_102,83
P03_106,31
P03_107,108
P03_108,18
P03_109,410
P03_10,40
P03_110,13
P03_111,34
P03_112,170
P03_113,61
P03_114,16
P03_115,13
P03_116,30
P03_117,258
P03_118,65
P03_119,210
P03_11,18
P03_120,255
P03_121,67
P03_122,11
P03_123,97
P03_12,6
P03_13,20
P03_14,42
P03_15,2
P03_16,38
P03_17,24
P03_18,7
P03_19,167
P03_20,73
P03_27,26
P03_28,40
P04_01,261
P04_02,330
P04_03,217
P04_04,151
P04_05,308
P04_06,117
P04_07,28
P04_08,19
P04_09,34
P04_101,240
P04_102,62
P04_103,38
P04_104,294
